task1
29
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (7 - 3)    -19.421     0.219   -44.562     5.719
 (7 - 4)     -3.098     1.000   -28.239    22.042
 (7 - 5)     -1.390     1.000   -26.531    23.750
 (7 - 6)     -1.214     1.000   -26.355    23.926

task3
119
Tukey's HSD Pairwise Group Comparisons (95.0% Confidence Interval)
Comparison  Statistic  p-value  Lower CI  Upper CI
 (0 - 1)      1.495     1.000   -31.243    34.233
 (0 - 2)      4.754     1.000   -27.984    37.492
 (0 - 3)    -13.181     0.877   -45.919    19.557
 (0 - 4)      4.888     1.000   -27.850    37.626
 (0 - 5)      4.924     1.000   -27.814    37.662
 (0 - 6)      5.431     0.999   -27.306    38.169
 (0 - 7)      6.029     0.998   -26.709    38.766
 (1 - 0)     -1.495     1.000   -34.233    31.243
 (1 - 2)      3.259     1.000   -29.479    35.997
 (1 - 3)    -14.676     0.808   -47.414    18.062
 (1 - 4)      3.393     1.000   -29.345    36.131
 (1 - 5)      3.429     1.000   -29.309    36.167
 (1 - 6)      3.937     1.000   -28.801    36.674
 (1 - 7)      4.534     1.000   -28.204    37.271
 (2 - 0)     -4.754     1.000   -37.492    27.984
 (2 - 1)     -3.259     1.000   -35.997    29.479
 (2 - 3)    -17.935     0.617   -50.673    14.803
 (2 - 4)      0.134     1.000   -32.604    32.871
 (2 - 5)      0.170     1.000   -32.568    32.908
 (2 - 6)      0.677     1.000   -32.061    33.415
 (2 - 7)      1.274     1.000   -31.463    34.012
 (3 - 0)     13.181     0.877   -19.557    45.919
 (3 - 1)     14.676     0.808   -18.062    47.414
 (3 - 2)     17.935     0.617   -14.803    50.673
 (3 - 4)     18.068     0.609   -14.669    50.806
 (3 - 5)     18.105     0.606   -14.633    50.843
 (3 - 6)     18.612     0.574   -14.126    51.350
 (3 - 7)     19.209     0.537   -13.528    51.947
 (4 - 0)     -4.888     1.000   -37.626    27.850
 (4 - 1)     -3.393     1.000   -36.131    29.345
 (4 - 2)     -0.134     1.000   -32.871    32.604
 (4 - 3)    -18.068     0.609   -50.806    14.669
 (4 - 5)      0.036     1.000   -32.702    32.774
 (4 - 6)      0.544     1.000   -32.194    33.282
 (4 - 7)      1.141     1.000   -31.597    33.879
 (5 - 0)     -4.924     1.000   -37.662    27.814
 (5 - 1)     -3.429     1.000   -36.167    29.309
 (5 - 2)     -0.170     1.000   -32.908    32.568
 (5 - 3)    -18.105     0.606   -50.843    14.633
 (5 - 4)     -0.036     1.000   -32.774    32.702
 (5 - 6)      0.508     1.000   -32.230    33.245
 (5 - 7)      1.105     1.000   -31.633    33.842
 (6 - 0)     -5.431     0.999   -38.169    27.306
 (6 - 1)     -3.937     1.000   -36.674    28.801
 (6 - 2)     -0.677     1.000   -33.415    32.061
